time	channel1	channel2	channel3	channel4	class
0	2.039	1.824	2.157	2.157	5
1	1.961	2.02	2.255	2.196	5
2	2.059	2.02	2.059	2.196	5
3	2.078	1.98	2.039	2.039	5
4	2.098	1.98	2.235	1.941	5
5	1.882	2.059	2.255	1.922	5
6	1.765	2.039	2.176	1.941	5
7	1.902	2.118	2.176	2.0	5
8	1.745	1.941	2.118	2.039	5
9	1.804	1.902	2.0	2.0	5
10	1.98	2.039	1.98	1.961	5
11	1.98	2.0	2.098	1.98	5
12	2.02	1.902	2.078	1.98	5
13	1.765	1.961	2.078	1.98	5
14	1.627	2.0	2.059	2.0	5
15	1.745	1.863	2.0	2.02	5
16	1.725	1.765	2.02	2.02	5
17	1.725	1.667	1.941	1.961	5
18	1.922	1.765	1.882	1.902	5
19	2.078	1.882	1.98	1.863	5
20	1.902	1.725	2.059	1.882	5
21	1.745	1.608	1.98	1.902	5
22	1.745	1.529	1.922	1.902	5
23	1.882	1.529	1.902	1.922	5
24	1.882	1.588	2.078	1.941	5
25	2.039	1.824	2.235	2.039	5
26	1.882	2.039	2.157	2.02	5
27	1.804	1.98	2.078	1.941	5
28	1.882	1.98	2.0	1.843	5
29	2.039	2.098	2.078	1.843	5
30	1.941	2.098	2.059	1.922	5
31	1.98	2.157	2.039	2.039	5
32	2.118	2.157	1.961	2.118	5
33	1.843	2.255	2.118	2.098	5
34	2.059	2.333	2.078	2.078	5
35	2.235	2.333	2.039	2.039	5
36	2.353	2.333	2.118	2.078	5
37	1.961	2.255	2.137	2.078	5
38	1.49	2.255	2.098	2.0	5
39	1.804	2.275	2.078	2.039	5
40	2.059	2.373	2.098	2.02	5
41	2.039	2.275	1.98	1.98	5
42	2.039	2.294	2.039	1.98	5
43	2.078	2.333	2.137	2.0	5
44	2.039	2.333	2.176	2.02	5
45	1.882	2.235	2.098	2.02	5
46	1.941	2.118	2.039	2.0	5
47	1.922	2.098	2.059	2.0	5
48	2.0	2.098	2.098	2.0	5
49	2.059	2.098	2.118	1.98	5
50	2.02	2.039	2.176	2.02	5
51	2.02	1.941	2.039	2.02	5
52	1.98	1.843	1.941	2.059	5
53	2.157	1.843	2.098	2.02	5
54	2.216	1.765	2.235	1.922	5
55	2.078	1.804	2.176	1.941	5
56	1.765	1.824	2.0	1.863	5
57	1.784	1.706	1.961	1.863	5
58	1.745	1.569	1.863	1.784	5
59	1.824	1.51	1.882	1.765	5
60	2.02	1.686	1.922	1.784	5
61	1.725	1.745	1.941	1.882	5
62	1.431	1.725	1.902	1.882	5
63	1.98	1.843	1.922	1.804	5
64	2.0	1.706	1.882	1.765	5
65	1.98	1.667	1.922	1.804	5
66	2.098	1.569	1.804	1.824	5
67	2.039	1.49	1.843	1.863	5
68	1.784	1.627	1.961	1.941	5
69	1.392	1.725	1.941	2.02	5
70	1.529	1.647	1.922	1.98	5
71	1.882	1.412	1.863	1.922	5
72	2.176	1.451	2.02	1.863	5
73	2.255	1.706	2.216	2.059	5
74	2.176	1.961	2.235	2.137	5
75	2.216	2.059	2.255	2.137	5
76	2.157	2.0	2.157	2.039	5
77	1.765	1.941	2.098	1.941	5
78	1.843	1.941	2.176	1.98	5
79	2.039	1.961	2.235	2.02	5
80	2.294	1.941	2.216	2.098	5
81	2.392	2.059	2.294	2.196	5
82	2.275	2.216	2.392	2.314	5
83	2.588	2.275	2.294	2.431	5
84	2.392	2.157	2.235	2.373	5
85	2.353	2.157	2.314	2.216	5
86	2.294	2.098	2.314	1.98	5
87	2.216	2.0	2.275	1.922	5
88	2.216	1.863	2.314	2.0	5
89	2.196	1.824	2.255	2.137	5
