time	channel1	channel2	channel3	channel4	class
0	2.314	2.255	2.294	2.039	5
1	2.157	2.216	2.314	2.02	5
2	2.176	2.235	2.137	2.137	5
3	2.255	2.157	2.118	2.157	5
4	2.216	1.98	2.137	2.157	5
5	2.078	1.922	2.137	2.078	5
6	2.137	1.902	2.118	2.039	5
7	2.176	1.922	2.157	2.0	5
8	2.039	1.784	2.098	1.98	5
9	1.961	1.706	2.118	1.98	5
10	1.784	1.667	2.137	1.863	5
11	1.824	1.647	2.098	1.961	5
12	1.941	1.549	2.039	1.961	5
13	2.0	1.608	2.02	1.922	5
14	2.039	1.725	2.098	1.941	5
15	1.745	1.784	2.039	1.961	5
16	1.667	1.804	1.98	1.922	5
17	1.667	1.784	2.0	1.882	5
18	1.804	1.804	1.922	1.804	5
19	1.765	1.882	1.922	1.824	5
20	1.824	1.765	2.098	1.804	5
21	2.02	1.863	1.98	1.961	5
22	1.98	1.725	1.941	2.02	5
23	2.176	1.784	2.059	2.118	5
24	2.098	1.765	2.039	2.059	5
25	1.98	1.647	1.98	1.961	5
26	2.118	1.667	2.02	1.882	5
27	2.137	1.686	2.118	1.824	5
28	1.922	1.941	1.98	1.843	5
29	1.941	2.039	2.059	1.922	5
30	2.02	2.039	2.078	1.961	5
31	2.039	1.902	2.0	1.961	5
32	1.941	1.804	1.941	1.922	5
33	1.765	1.863	2.0	1.863	5
34	1.686	1.882	1.961	1.824	5
35	1.98	1.882	1.863	1.784	5
36	2.333	1.902	2.098	1.843	5
37	2.431	2.078	2.118	1.902	5
38	2.255	2.235	2.196	2.039	5
39	1.98	2.255	2.157	2.157	5
40	1.863	2.0	2.02	2.137	5
41	1.843	1.765	1.922	2.0	5
42	1.863	1.745	1.882	1.902	5
43	1.863	1.784	2.039	1.882	5
44	1.98	1.784	2.059	1.824	5
45	2.059	2.02	2.157	1.843	5
46	1.902	2.0	2.137	1.98	5
47	1.804	1.98	2.039	2.039	5
48	1.902	1.98	2.098	2.059	5
49	2.02	2.059	2.118	2.059	5
50	2.02	1.98	2.059	1.961	5
51	1.863	1.922	2.02	1.941	5
52	1.961	1.941	2.078	1.961	5
53	2.02	2.039	2.137	1.941	5
54	2.0	2.078	2.216	2.02	5
55	1.961	2.039	2.059	2.02	5
56	1.706	2.02	1.98	2.039	5
57	1.745	1.922	1.902	1.922	5
58	2.137	2.059	2.039	1.882	5
59	2.333	2.059	2.078	1.882	5
60	2.235	1.902	2.118	2.02	5
61	2.059	1.765	2.039	2.333	5
62	1.745	1.627	2.0	2.275	5
63	1.824	1.667	1.98	2.098	5
64	1.784	1.745	1.941	1.667	5
65	1.882	1.863	2.039	1.451	5
66	2.098	1.961	2.137	1.667	5
67	2.137	1.98	2.176	2.059	5
68	2.196	1.902	2.137	2.333	5
69	2.196	1.863	2.039	2.392	5
70	1.882	1.902	2.157	2.157	5
71	1.765	1.922	2.137	1.922	5
72	1.765	1.647	1.922	1.706	5
73	1.725	1.667	2.02	1.686	5
74	1.941	1.765	2.078	1.824	5
75	2.02	1.745	2.059	2.02	5
76	2.157	1.745	2.157	2.098	5
77	2.098	1.961	2.275	2.098	5
78	1.843	1.882	2.235	2.118	5
79	1.686	1.922	2.176	1.863	5
80	1.627	1.784	2.059	1.843	5
81	1.784	1.863	2.0	1.765	5
82	2.118	1.902	2.078	1.843	5
83	1.843	1.941	2.078	1.902	5
84	1.765	1.961	2.059	2.0	5
85	1.706	1.941	2.176	2.059	5
86	1.784	1.922	2.039	1.98	5
87	2.118	2.059	2.176	1.882	5
88	2.333	2.196	2.294	2.02	5
89	2.353	2.078	2.078	2.098	5
90	2.039	2.02	2.02	2.098	5
91	2.02	1.961	2.098	2.059	5
92	2.098	1.863	2.118	2.078	5
93	2.451	1.922	2.157	2.078	5
94	2.353	1.98	2.314	2.118	5
95	2.078	1.941	2.176	2.255	5
96	1.902	1.98	2.078	2.137	5
97	2.235	2.0	2.098	2.039	5
98	2.176	1.98	2.157	1.98	5
99	2.235	2.02	2.235	2.098	5
100	2.294	2.098	2.196	2.118	5
101	2.118	1.98	2.059	2.059	5
102	1.941	2.0	2.039	1.941	5
103	1.961	2.0	2.039	1.882	5
104	1.804	2.039	2.039	2.02	5
105	1.882	1.98	2.098	2.059	5
106	2.118	2.02	1.941	2.039	5
107	2.059	1.961	1.863	1.961	5
108	2.02	1.922	1.941	1.922	5
109	1.98	1.824	1.922	1.902	5
110	2.02	1.725	1.902	1.961	5
111	1.98	1.784	1.961	1.922	5
112	1.902	1.765	1.98	2.078	5
113	1.686	1.706	2.02	1.98	5
114	1.804	1.667	1.922	2.02	5
115	1.941	1.922	1.961	1.98	5
116	1.902	2.078	1.98	1.922	5
117	1.745	2.078	2.039	1.961	5
118	1.725	2.039	2.039	2.02	5
119	1.725	1.922	1.961	1.98	5
120	1.882	1.941	1.98	1.902	5
121	1.961	2.02	1.922	1.941	5
122	1.784	2.078	2.078	1.961	5
123	1.882	2.0	2.0	2.078	5
124	1.765	2.02	2.02	2.078	5
125	1.804	2.078	2.0	2.118	5
126	1.843	2.059	2.039	2.078	5
127	1.843	1.882	2.059	2.098	5
128	1.804	1.824	2.118	2.0	5
129	1.804	1.863	2.176	1.902	5
130	1.941	1.98	2.02	1.941	5
131	1.765	1.784	2.078	1.941	5
132	1.765	1.745	2.078	1.941	5
133	1.588	1.667	2.0	1.902	5
