time	channel1	channel2	channel3	channel4	class
0	1.941	1.922	2.02	1.941	2
1	2.02	1.902	2.02	1.98	2
2	2.02	1.922	2.039	2.039	2
3	1.961	1.98	2.157	1.98	2
4	2.078	1.902	2.059	2.0	2
5	2.078	1.824	1.98	1.922	2
6	2.039	1.843	2.118	1.922	2
7	2.098	1.863	2.176	1.922	2
8	2.137	1.706	2.098	1.941	2
9	2.02	1.647	2.098	1.98	2
10	1.882	1.745	2.118	2.02	2
11	1.961	1.784	2.098	1.922	2
12	2.039	1.784	2.039	1.922	2
13	1.98	1.745	2.039	1.961	2
14	2.059	1.667	2.098	1.922	2
15	2.02	1.627	2.137	1.941	2
16	1.98	1.745	2.02	1.961	2
17	1.961	1.725	2.0	1.98	2
18	1.902	1.706	2.0	2.0	2
19	1.843	1.765	2.078	2.039	2
20	1.922	1.804	2.157	2.078	2
21	2.039	1.922	2.118	2.059	2
22	1.98	1.804	2.0	1.98	2
23	2.0	1.824	2.0	1.902	2
24	2.02	1.824	2.059	1.902	2
25	2.039	1.843	2.137	1.922	2
26	1.961	2.0	2.137	2.039	2
27	1.784	2.137	2.137	2.137	2
28	1.804	2.059	1.98	2.157	2
29	1.824	2.137	2.078	2.098	2
30	1.843	2.118	2.059	2.02	2
31	1.941	2.157	2.137	1.98	2
32	1.922	2.196	2.098	1.941	2
33	1.941	2.176	2.039	1.941	2
34	1.961	2.137	2.098	2.02	2
35	1.941	2.137	2.157	2.078	2
36	1.961	2.157	2.216	2.118	2
37	1.882	2.137	2.137	2.078	2
38	1.961	1.98	2.039	1.941	2
39	2.098	1.843	2.02	1.843	2
40	2.098	1.843	2.059	1.843	2
41	2.118	1.882	2.157	1.902	2
42	1.961	1.882	2.235	2.059	2
43	1.941	1.882	2.196	2.118	2
44	1.941	1.765	2.118	2.098	2
45	2.039	1.824	2.059	2.0	2
46	1.98	2.0	1.922	1.961	2
47	1.863	2.078	2.137	1.98	2
48	1.882	2.039	2.118	2.039	2
49	1.824	1.902	2.157	2.078	2
50	1.863	1.961	2.078	2.098	2
51	1.765	1.961	1.941	2.078	2
52	1.667	1.98	1.98	2.039	2
53	1.667	2.059	2.137	2.078	2
54	1.627	2.157	2.196	2.157	2
55	1.667	2.059	2.059	2.137	2
56	1.745	1.922	2.0	2.078	2
57	1.745	1.941	2.059	2.039	2
58	1.765	1.961	2.118	1.98	2
59	1.765	1.922	2.157	1.961	2
60	1.725	1.824	2.078	2.0	2
61	1.647	1.804	2.059	2.02	2
62	1.627	1.843	2.0	2.137	2
63	1.725	1.882	2.235	2.098	2
64	1.784	1.882	2.078	2.02	2
65	1.843	1.824	1.863	1.941	2
66	1.824	1.882	2.0	1.902	2
67	1.843	1.922	2.098	1.902	2
68	1.804	1.863	2.118	1.961	2
69	1.824	1.922	2.039	2.02	2
70	1.902	1.882	2.02	2.059	2
71	1.824	1.961	2.02	2.0	2
72	1.961	1.902	2.098	1.961	2
73	2.039	1.882	2.098	1.922	2
74	1.98	1.824	2.0	1.863	2
75	1.98	1.804	1.98	1.824	2
76	1.922	1.804	2.039	1.882	2
77	2.039	1.843	2.078	1.941	2
78	2.02	1.804	2.059	2.0	2
79	1.961	1.843	2.059	1.98	2
80	2.02	1.765	2.059	2.039	2
81	1.902	1.804	2.078	1.941	2
82	1.98	1.784	2.137	1.961	2
83	2.078	1.784	2.039	1.941	2
84	2.039	1.725	1.98	1.922	2
85	2.039	1.784	1.98	1.902	2
86	1.98	1.725	2.02	1.902	2
