time	channel1	channel2	channel3	channel4	class
0	1.824	2.333	1.961	2.02	4
1	2.02	2.353	1.941	2.059	4
2	2.039	2.294	1.882	1.922	4
3	1.941	2.176	1.784	1.804	4
4	2.039	2.196	1.745	1.706	4
5	2.02	2.118	1.784	1.765	4
6	2.118	2.098	1.863	1.882	4
7	1.961	1.961	1.824	1.863	4
8	1.725	1.922	1.745	1.863	4
9	2.059	1.922	1.804	1.941	4
10	2.039	1.961	1.745	1.922	4
11	1.902	2.02	1.608	1.843	4
12	1.98	2.0	1.588	1.784	4
13	2.02	2.078	1.667	1.824	4
14	2.039	2.176	1.706	1.882	4
15	1.941	1.98	1.706	1.941	4
16	1.863	1.824	1.647	1.902	4
17	2.039	1.784	1.824	1.941	4
18	1.882	1.98	1.941	1.98	4
19	2.059	1.824	1.804	1.863	4
20	2.0	1.686	1.569	1.725	4
21	2.118	1.784	1.588	1.745	4
22	2.039	1.863	1.824	1.804	4
23	2.02	1.922	1.922	1.843	4
24	1.882	1.784	1.98	1.961	4
25	1.765	1.765	1.941	1.98	4
26	1.941	1.784	1.824	1.922	4
27	1.922	1.843	1.863	1.961	4
28	1.902	1.902	2.02	1.961	4
29	1.941	1.745	1.941	1.98	4
30	1.922	1.784	1.922	1.98	4
31	1.922	1.922	1.98	2.059	4
32	1.824	2.02	2.039	2.059	4
33	1.863	2.039	2.137	2.078	4
34	1.843	2.137	2.255	2.059	4
35	2.078	2.118	2.275	2.078	4
36	1.922	1.922	2.059	1.961	4
37	1.941	1.804	2.02	1.961	4
38	2.078	1.843	2.059	2.0	4
39	2.039	1.863	2.176	2.02	4
40	1.961	1.843	2.235	2.059	4
41	1.804	1.804	2.373	2.118	4
42	1.765	1.804	2.314	2.098	4
43	1.686	1.804	2.196	2.039	4
44	2.0	1.667	2.098	2.0	4
45	1.902	1.647	2.157	2.039	4
46	1.961	1.706	2.157	2.078	4
47	1.941	1.765	2.235	2.137	4
48	1.941	1.882	2.275	2.216	4
49	1.863	1.961	2.353	2.235	4
50	1.843	2.039	2.294	2.176	4
51	1.804	2.078	2.137	2.098	4
52	1.961	2.333	2.235	2.098	4
53	1.902	2.333	2.216	2.059	4
54	1.922	2.078	2.176	2.078	4
55	2.059	2.078	2.196	2.039	4
56	2.02	2.039	2.157	1.98	4
57	2.02	1.902	2.157	1.961	4
58	1.882	1.745	2.275	2.0	4
59	1.706	1.51	2.255	2.059	4
60	1.608	1.471	2.196	2.118	4
61	1.686	1.549	2.235	2.157	4
62	1.745	1.451	2.098	2.039	4
63	1.667	1.471	2.118	2.039	4
64	1.804	1.745	2.235	2.059	4
65	1.882	1.765	2.255	2.118	4
66	1.725	1.706	2.176	2.118	4
67	1.745	1.804	2.255	2.196	4
68	1.627	2.098	2.333	2.196	4
69	1.824	1.863	2.157	2.078	4
70	1.706	1.765	2.078	2.039	4
71	1.784	2.098	2.196	2.039	4
72	1.902	2.314	2.255	2.039	4
73	1.961	2.471	2.314	2.078	4
74	1.961	2.451	2.255	2.02	4
75	1.882	2.196	2.275	2.059	4
76	1.627	2.078	2.255	2.118	4
77	1.843	2.098	2.275	2.157	4
78	1.922	2.255	2.333	2.255	4
79	1.725	2.216	2.235	2.157	4
80	1.922	2.0	2.118	2.078	4
81	1.922	2.0	2.157	2.059	4
82	1.882	1.961	2.216	2.078	4
83	1.824	1.882	2.216	2.118	4
84	1.882	1.765	2.235	2.137	4
85	1.902	1.686	2.176	2.059	4
86	1.863	1.824	2.118	2.137	4
87	1.843	2.0	2.216	2.157	4
88	1.98	2.098	2.196	2.078	4
89	2.118	1.98	2.0	1.941	4
90	2.137	1.863	2.039	1.902	4
91	2.176	1.784	2.235	1.961	4
92	1.863	1.627	2.157	1.941	4
93	1.882	1.647	2.098	2.0	4
94	1.667	1.824	2.098	2.059	4
95	1.902	1.686	2.098	2.039	4
96	2.0	1.647	2.059	2.039	4
97	2.118	1.765	2.078	2.02	4
98	2.02	1.882	2.039	2.02	4
99	2.176	2.0	2.137	2.039	4
100	2.078	2.059	2.137	2.039	4
101	1.902	2.118	2.098	2.02	4
102	1.843	2.059	2.059	2.039	4
103	1.569	1.941	2.098	2.098	4
104	1.824	1.941	2.078	2.02	4
105	2.0	1.961	2.0	1.941	4
106	2.02	2.157	2.059	1.922	4
107	2.0	2.353	2.118	1.922	4
108	2.02	2.333	2.098	1.961	4
109	1.961	2.235	2.235	2.059	4
110	1.686	2.157	2.333	2.098	4
111	1.49	2.137	1.961	1.961	4
112	1.49	1.98	1.902	1.941	4
113	1.706	1.941	2.098	2.02	4
114	1.824	1.863	2.118	2.039	4
115	1.804	1.882	2.098	2.098	4
116	1.961	1.961	2.137	2.176	4
117	1.961	1.804	2.059	2.118	4
118	1.922	1.824	1.902	1.941	4
119	1.706	2.0	1.922	1.941	4
120	1.647	1.941	2.02	1.961	4
121	1.804	2.216	1.941	1.941	4
122	1.804	2.118	2.098	2.0	4
123	1.706	1.941	1.961	1.882	4
124	2.0	1.863	1.843	1.824	4
125	2.098	1.784	1.804	1.843	4
