time	channel1	channel2	channel3	channel4	class
0	2.0	2.059	2.059	1.961	3
1	2.0	1.961	2.039	1.961	3
2	1.98	1.882	2.078	1.941	3
3	2.059	1.941	2.137	2.0	3
4	2.039	1.784	2.02	2.0	3
5	1.922	1.686	2.0	1.941	3
6	1.941	1.725	2.02	1.922	3
7	1.941	1.765	2.02	1.922	3
8	1.941	1.725	2.059	1.941	3
9	1.961	1.824	2.059	1.961	3
10	2.0	1.882	2.039	1.961	3
11	1.98	1.941	2.059	1.961	3
12	1.941	1.98	2.078	1.961	3
13	1.941	2.02	2.02	1.961	3
14	1.882	2.02	2.0	1.922	3
15	1.882	2.0	2.0	1.941	3
16	1.902	2.02	2.02	1.941	3
17	1.98	2.078	2.059	1.941	3
18	1.961	1.98	2.059	1.961	3
19	2.0	1.902	2.078	1.98	3
20	2.098	1.961	2.098	1.961	3
21	2.0	1.804	2.039	1.98	3
22	1.882	1.686	2.0	1.961	3
23	1.941	1.725	2.02	1.922	3
24	2.02	1.745	2.02	1.902	3
25	1.98	1.725	2.059	1.902	3
26	1.98	1.804	2.078	1.922	3
27	1.98	1.882	2.039	1.961	3
28	1.941	1.941	2.059	1.961	3
29	1.941	1.961	2.039	1.961	3
30	1.961	2.0	2.02	1.941	3
31	1.941	2.02	2.039	1.922	3
32	1.941	2.039	2.059	1.922	3
33	1.922	2.02	2.039	1.941	3
34	1.98	2.039	2.0	1.941	3
35	1.941	1.961	2.039	1.941	3
36	1.941	1.902	2.059	1.941	3
37	2.039	1.98	2.098	1.941	3
38	2.059	1.824	2.02	1.961	3
39	1.902	1.706	2.0	1.961	3
40	1.941	1.725	2.059	1.941	3
41	1.98	1.745	2.02	1.922	3
42	1.941	1.686	2.0	1.902	3
43	1.941	1.784	2.039	1.922	3
44	1.961	1.863	2.039	1.941	3
45	2.02	1.941	2.078	1.941	3
46	1.941	1.941	2.039	1.941	3
47	1.922	1.961	2.0	1.941	3
48	1.902	2.0	2.02	1.922	3
49	1.922	2.0	2.039	1.922	3
50	1.922	2.0	2.02	1.941	3
51	1.98	2.039	2.02	1.922	3
52	1.98	1.941	2.0	1.922	3
53	1.941	1.863	2.0	1.941	3
54	2.059	1.902	2.039	1.98	3
55	2.059	1.784	2.0	2.0	3
56	1.941	1.725	2.039	1.961	3
57	1.941	1.745	2.059	1.941	3
58	1.961	1.745	2.039	1.941	3
59	1.961	1.686	2.02	1.922	3
60	1.961	1.745	2.0	1.902	3
61	1.98	1.843	2.02	1.922	3
62	1.941	1.902	2.039	1.941	3
63	1.941	1.922	2.059	1.98	3
64	1.961	2.0	2.039	2.0	3
65	1.922	2.02	2.039	1.98	3
66	1.922	2.02	2.039	1.98	3
67	1.902	2.02	2.059	2.0	3
68	1.961	2.059	2.059	1.961	3
69	1.961	1.961	2.02	1.961	3
70	1.961	1.882	2.059	2.0	3
71	2.078	1.98	2.118	2.0	3
72	2.059	1.863	2.098	2.039	3
73	1.902	1.686	2.0	2.0	3
74	1.941	1.706	2.02	1.941	3
75	2.0	1.784	2.059	1.922	3
76	1.98	1.745	2.078	1.922	3
77	1.98	1.804	2.059	1.961	3
78	1.961	1.863	2.039	1.961	3
79	1.941	1.922	2.078	1.98	3
80	1.961	1.961	2.098	2.0	3
81	1.98	2.0	2.059	1.98	3
82	1.941	2.02	2.059	1.961	3
83	1.941	2.0	2.039	1.941	3
84	1.941	2.0	2.02	1.941	3
85	1.961	2.039	2.059	1.941	3
86	1.941	1.941	2.059	1.961	3
87	1.941	1.882	2.059	1.961	3
88	2.059	1.961	2.118	1.98	3
89	2.078	1.824	2.059	1.98	3
90	1.922	1.667	1.98	1.922	3
91	1.941	1.706	2.059	1.902	3
92	1.961	1.745	2.039	1.902	3
93	1.941	1.706	2.039	1.922	3
94	1.961	1.784	2.039	1.941	3
95	1.961	1.824	2.039	1.961	3
96	1.98	1.902	2.098	1.98	3
97	1.941	1.922	2.039	1.941	3
98	1.98	1.98	2.0	1.922	3
99	1.902	2.0	2.02	1.922	3
100	1.922	1.98	2.02	1.922	3
101	1.941	2.0	2.02	1.961	3
102	1.98	2.039	2.039	1.961	3
103	1.961	1.961	2.02	1.941	3
104	1.941	1.882	2.02	1.941	3
105	2.02	1.941	2.078	1.961	3
106	2.039	1.843	2.039	1.98	3
107	1.922	1.686	1.98	1.941	3
108	1.941	1.725	2.02	1.902	3
109	1.961	1.765	2.059	1.922	3
110	1.941	1.725	2.039	1.961	3
111	1.961	1.804	2.039	1.961	3
112	1.98	1.863	2.039	1.961	3
113	1.922	1.922	2.059	1.98	3
114	1.98	1.961	2.078	1.98	3
115	1.98	2.02	2.039	1.941	3
116	1.902	2.02	2.02	1.902	3
117	1.922	2.02	2.0	1.902	3
118	1.902	2.02	2.02	1.941	3
119	1.961	2.078	2.059	2.0	3
120	1.98	1.98	2.039	2.0	3
121	1.961	1.902	2.039	2.02	3
122	2.059	2.0	2.098	2.0	3
123	2.059	1.843	2.039	1.98	3
124	1.922	1.667	1.98	1.941	3
125	1.941	1.706	2.02	1.902	3
126	2.0	1.765	2.039	1.902	3
127	1.98	1.765	2.059	1.941	3
128	1.961	1.824	2.078	1.98	3
129	1.922	1.863	2.02	2.0	3
130	1.902	1.922	2.02	1.98	3
131	1.941	1.941	2.02	1.98	3
132	1.961	2.0	2.02	1.941	3
133	1.941	2.02	2.02	1.941	3
134	1.941	2.02	2.02	1.902	3
135	1.902	2.039	2.059	1.922	3
136	1.941	2.078	2.02	1.941	3
137	1.941	1.961	2.02	1.961	3
138	1.922	1.882	2.02	1.98	3
139	2.0	2.0	2.118	2.0	3
140	2.02	1.882	2.059	2.02	3
141	1.863	1.725	2.02	1.98	3
142	1.902	1.706	2.039	1.922	3
143	1.961	1.725	2.02	1.882	3
144	1.961	1.725	2.039	1.882	3
145	1.961	1.824	2.098	1.902	3
146	1.98	1.863	2.078	1.941	3
147	1.941	1.922	2.059	1.961	3
148	1.922	1.922	2.039	1.941	3
149	1.941	1.98	2.039	1.941	3
150	1.863	2.039	2.059	1.961	3
151	1.882	2.02	2.059	1.961	3
152	1.902	1.98	2.039	1.961	3
153	1.98	2.039	2.078	1.941	3
154	1.98	1.961	2.02	1.902	3
155	1.941	1.863	2.039	1.922	3
156	2.02	1.961	2.137	1.98	3
157	2.098	1.843	2.059	1.98	3
158	1.961	1.647	1.98	1.922	3
159	1.922	1.667	2.02	1.882	3
160	1.98	1.686	2.059	1.902	3
161	1.98	1.686	2.02	1.961	3
162	1.941	1.725	2.039	1.961	3
163	2.0	1.843	2.078	1.961	3
164	2.0	1.882	2.059	1.922	3
165	1.922	1.882	2.059	1.922	3
166	1.961	1.961	2.02	1.922	3
167	1.922	1.941	2.0	1.922	3
168	1.941	1.961	2.039	1.941	3
169	1.941	1.961	2.039	1.961	3
170	2.02	2.02	2.039	1.98	3
171	2.0	1.961	2.039	1.941	3
172	1.98	1.882	2.039	1.941	3
173	2.039	2.0	2.118	1.98	3
174	2.078	1.902	2.098	2.0	3
175	1.902	1.667	1.98	2.0	3
176	1.902	1.686	2.0	1.941	3
177	1.961	1.745	2.039	1.922	3
178	1.98	1.725	2.059	1.922	3
179	2.059	1.824	2.118	1.941	3
180	2.0	1.863	2.059	1.961	3
181	1.941	1.941	2.078	1.98	3
182	1.941	1.961	2.059	1.98	3
183	1.941	2.02	2.039	1.98	3
184	1.902	2.0	2.02	1.961	3
185	1.922	2.0	2.02	1.941	3
186	1.941	2.0	2.02	1.941	3
187	1.98	2.059	2.039	1.941	3
188	1.961	1.961	2.078	1.961	3
189	1.961	1.882	2.039	1.98	3
190	2.039	1.98	2.078	1.98	3
191	2.059	1.882	2.059	2.0	3
192	1.922	1.686	1.98	1.961	3
193	1.941	1.667	2.0	1.922	3
194	2.0	1.725	2.02	1.882	3
195	2.0	1.706	2.02	1.922	3
196	1.941	1.784	2.039	1.941	3
197	1.961	1.804	2.039	1.961	3
198	1.961	1.863	2.0	1.98	3
199	1.961	1.902	2.039	1.941	3
200	1.98	1.961	2.0	1.941	3
201	1.941	2.0	2.02	1.941	3
202	1.922	2.0	2.039	1.961	3
203	1.902	1.98	2.0	1.961	3
204	2.0	2.039	2.02	2.0	3
205	2.0	1.961	2.0	1.961	3
206	1.961	1.882	2.039	1.98	3
207	2.039	1.941	2.078	1.98	3
208	2.039	1.882	2.039	1.98	3
209	1.922	1.667	1.961	1.961	3
210	1.922	1.686	2.0	1.922	3
211	2.0	1.725	2.02	1.902	3
212	1.98	1.725	2.02	1.941	3
213	1.922	1.804	2.039	1.961	3
214	1.98	1.843	2.02	1.98	3
215	1.98	1.902	2.059	1.961	3
216	1.941	1.941	2.039	1.961	3
217	1.941	2.0	2.02	1.961	3
218	1.922	2.02	2.02	1.941	3
219	1.922	2.02	2.02	1.961	3
220	1.922	2.0	2.02	1.961	3
221	1.961	2.059	2.02	1.961	3
222	1.941	1.98	2.02	1.961	3
223	1.941	1.882	2.0	1.961	3
224	1.98	1.961	2.078	1.98	3
225	2.059	1.902	2.078	2.02	3
226	1.882	1.667	1.98	1.98	3
227	1.922	1.686	2.02	1.941	3
228	1.98	1.745	2.039	1.941	3
229	1.941	1.745	2.059	1.941	3
230	1.941	1.824	2.078	1.98	3
231	1.941	1.843	2.039	1.98	3
232	1.98	1.882	2.02	1.961	3
233	1.922	1.882	2.02	1.961	3
234	1.941	1.941	2.02	1.961	3
235	1.902	1.961	2.02	1.961	3
236	1.922	1.98	2.02	1.941	3
237	1.941	2.0	2.039	1.941	3
238	1.961	2.078	2.059	1.961	3
239	1.941	1.98	2.059	1.98	3
240	1.902	1.902	2.02	1.98	3
241	1.98	1.98	2.098	1.98	3
242	2.078	1.941	2.098	2.0	3
243	1.941	1.686	2.039	1.961	3
244	1.941	1.686	2.039	1.941	3
245	1.98	1.745	2.039	1.902	3
246	1.98	1.745	2.039	1.922	3
247	1.922	1.784	2.039	1.941	3
248	1.941	1.843	2.039	1.941	3
249	1.941	1.882	2.039	1.961	3
