time	channel1	channel2	channel3	channel4	class
0	1.863	1.961	1.902	2.0	5
1	1.902	1.941	1.922	2.02	5
2	1.922	1.941	2.0	2.098	5
3	1.961	1.902	2.078	2.137	5
4	1.922	1.824	2.176	2.118	5
5	1.98	1.824	2.196	2.078	5
6	1.98	1.784	2.235	2.039	5
7	2.02	1.745	2.216	1.961	5
8	2.02	1.745	2.157	1.941	5
9	2.039	1.745	2.157	1.882	5
10	2.078	1.765	2.118	1.824	5
11	2.059	1.804	2.02	1.784	5
12	2.078	1.804	1.922	1.745	5
13	2.0	1.824	1.843	1.745	5
14	2.0	1.863	1.784	1.745	5
15	1.941	1.902	1.765	1.824	5
16	1.941	1.922	1.824	1.902	5
17	1.922	1.882	1.863	1.98	5
18	1.922	1.902	1.902	2.039	5
19	1.863	1.902	1.98	2.039	5
20	1.863	1.882	2.078	2.098	5
21	1.941	1.804	2.176	2.098	5
22	1.961	1.804	2.176	2.118	5
23	1.98	1.784	2.235	2.039	5
24	2.039	1.765	2.216	1.961	5
25	2.02	1.784	2.176	1.922	5
26	2.039	1.765	2.157	1.882	5
27	2.098	1.745	2.118	1.824	5
28	2.078	1.824	2.02	1.784	5
29	2.078	1.863	1.922	1.745	5
30	1.961	1.863	1.882	1.745	5
31	1.98	1.882	1.804	1.784	5
32	1.941	1.941	1.804	1.824	5
33	1.902	1.922	1.843	1.922	5
34	1.902	1.961	1.882	1.98	5
35	1.882	1.961	1.941	2.02	5
36	1.882	1.922	2.02	2.078	5
37	1.902	1.902	2.059	2.118	5
38	1.902	1.824	2.176	2.098	5
39	1.941	1.863	2.216	2.078	5
40	1.961	1.804	2.275	2.059	5
41	2.02	1.784	2.235	2.0	5
42	2.02	1.804	2.216	1.98	5
43	2.02	1.804	2.176	1.922	5
44	2.078	1.765	2.176	1.863	5
45	2.039	1.863	2.059	1.843	5
46	2.059	1.863	1.941	1.784	5
47	1.961	1.882	1.882	1.765	5
48	1.961	1.922	1.824	1.784	5
49	1.941	1.961	1.824	1.863	5
50	1.902	1.98	1.863	1.941	5
51	1.941	1.961	1.882	2.02	5
52	1.882	1.961	1.922	2.0	5
53	1.902	1.922	2.039	2.059	5
54	1.863	1.922	2.078	2.157	5
55	1.902	1.843	2.157	2.118	5
56	1.922	1.824	2.216	2.118	5
57	1.961	1.824	2.275	2.078	5
58	2.02	1.784	2.255	1.98	5
59	2.0	1.784	2.157	1.961	5
60	2.02	1.765	2.157	1.902	5
61	2.039	1.784	2.118	1.843	5
62	2.02	1.843	2.078	1.804	5
63	2.059	1.863	1.941	1.784	5
64	1.941	1.882	1.882	1.765	5
65	1.98	1.922	1.863	1.804	5
66	1.922	2.0	1.804	1.843	5
67	1.902	2.0	1.843	1.941	5
68	1.922	1.98	1.863	2.0	5
69	1.882	1.98	1.941	2.0	5
70	1.902	1.961	2.02	2.118	5
71	1.902	1.941	2.098	2.118	5
72	1.902	1.863	2.196	2.137	5
73	1.941	1.863	2.196	2.137	5
74	1.98	1.843	2.255	2.059	5
75	2.02	1.824	2.235	1.98	5
76	2.0	1.824	2.196	1.941	5
77	2.02	1.784	2.176	1.922	5
78	2.059	1.784	2.137	1.882	5
79	2.098	1.843	2.02	1.843	5
80	2.098	1.843	1.922	1.765	5
81	1.98	1.863	1.863	1.745	5
82	1.98	1.882	1.824	1.765	5
83	1.902	1.961	1.824	1.843	5
84	1.902	1.961	1.843	1.941	5
85	1.902	1.98	1.882	2.0	5
86	1.863	1.98	1.961	2.078	5
87	1.804	2.02	2.039	2.118	5
88	1.863	1.941	2.118	2.157	5
89	1.863	1.863	2.176	2.157	5
90	1.922	1.843	2.235	2.137	5
91	1.961	1.824	2.275	2.078	5
92	2.0	1.804	2.255	1.98	5
93	2.0	1.863	2.235	1.961	5
94	2.0	1.843	2.216	1.941	5
95	2.0	1.863	2.176	1.941	5
96	1.98	1.902	2.118	1.902	5
97	2.0	1.902	1.98	1.804	5
98	1.941	1.961	1.902	1.804	5
99	1.961	1.922	1.843	1.765	5
100	1.902	1.98	1.824	1.863	5
101	1.863	2.02	1.863	1.922	5
102	1.863	2.02	1.902	2.0	5
103	1.843	2.0	1.922	2.059	5
104	1.804	1.941	2.039	2.118	5
105	1.863	1.98	2.078	2.137	5
106	1.863	1.922	2.235	2.176	5
107	1.941	1.902	2.216	2.137	5
108	1.941	1.863	2.294	2.078	5
109	1.98	1.824	2.255	2.0	5
110	1.98	1.843	2.196	1.961	5
111	2.02	1.824	2.176	1.922	5
112	2.039	1.824	2.137	1.902	5
113	2.039	1.843	2.078	1.824	5
114	2.059	1.882	1.961	1.784	5
115	1.961	1.922	1.902	1.784	5
116	1.961	1.922	1.843	1.804	5
117	1.941	1.98	1.804	1.843	5
118	1.941	1.941	1.843	1.941	5
119	1.902	1.941	1.863	1.961	5
120	1.882	1.941	1.922	2.0	5
121	1.922	1.902	2.0	2.039	5
122	1.902	1.941	2.078	2.137	5
123	1.882	1.843	2.196	2.137	5
124	1.941	1.843	2.196	2.098	5
125	1.961	1.784	2.275	2.078	5
126	2.02	1.765	2.235	1.98	5
127	2.0	1.765	2.216	1.922	5
128	2.02	1.765	2.157	1.922	5
129	2.039	1.745	2.118	1.882	5
130	2.039	1.843	2.059	1.843	5
131	2.02	1.863	1.98	1.804	5
132	1.961	1.863	1.902	1.784	5
133	1.98	1.882	1.824	1.784	5
134	1.922	1.941	1.784	1.843	5
135	1.902	1.941	1.843	1.882	5
136	1.902	1.941	1.863	1.961	5
137	1.882	1.922	1.902	2.039	5
138	1.882	1.922	2.0	2.078	5
139	1.922	1.941	2.078	2.157	5
140	1.922	1.843	2.176	2.137	5
141	2.0	1.824	2.196	2.118	5
142	2.0	1.804	2.255	2.059	5
143	2.039	1.765	2.235	1.98	5
144	2.0	1.804	2.216	1.941	5
145	1.98	1.824	2.216	1.941	5
