time	channel1	channel2	channel3	channel4	class
0	2.059	1.784	1.902	1.745	5
1	2.0	1.784	1.804	1.725	5
2	1.961	1.824	1.745	1.765	5
3	1.941	1.863	1.765	1.824	5
4	1.922	1.882	1.784	1.922	5
5	1.902	1.902	1.824	2.0	5
6	1.843	1.922	1.882	2.02	5
7	1.804	1.961	2.0	2.098	5
8	1.804	1.98	2.118	2.196	5
9	1.863	1.961	2.235	2.176	5
10	1.922	1.961	2.294	2.176	5
11	1.941	1.922	2.353	2.118	5
12	2.02	1.863	2.314	2.02	5
13	1.98	1.863	2.255	1.98	5
14	2.039	1.843	2.216	1.902	5
15	2.059	1.843	2.137	1.843	5
16	2.039	1.824	2.039	1.804	5
17	2.059	1.784	1.882	1.745	5
18	2.0	1.804	1.824	1.725	5
19	1.98	1.824	1.745	1.745	5
20	1.922	1.882	1.745	1.843	5
21	1.922	1.882	1.784	1.922	5
22	1.882	1.902	1.824	2.0	5
23	1.863	1.961	1.882	2.059	5
24	1.804	1.98	2.02	2.059	5
25	1.824	1.98	2.098	2.157	5
26	1.882	1.941	2.235	2.157	5
27	1.902	1.961	2.294	2.157	5
28	1.961	1.922	2.353	2.078	5
29	2.02	1.863	2.294	2.039	5
30	2.059	1.843	2.275	1.941	5
31	2.059	1.804	2.216	1.922	5
32	2.078	1.784	2.118	1.843	5
33	2.118	1.824	2.059	1.765	5
34	2.078	1.784	1.863	1.725	5
35	2.0	1.784	1.804	1.706	5
36	2.0	1.824	1.745	1.725	5
37	1.961	1.882	1.745	1.804	5
38	1.902	1.902	1.765	1.902	5
39	1.863	1.922	1.804	1.98	5
40	1.843	1.961	1.863	2.0	5
41	1.843	1.98	1.98	2.137	5
42	1.843	2.0	2.078	2.157	5
43	1.882	1.98	2.235	2.157	5
44	1.902	2.0	2.314	2.157	5
45	1.941	1.941	2.353	2.098	5
46	2.0	1.922	2.294	2.02	5
47	2.02	1.882	2.255	1.961	5
48	2.02	1.863	2.235	1.902	5
49	2.098	1.765	2.157	1.863	5
50	2.078	1.824	2.059	1.804	5
51	2.078	1.765	1.863	1.725	5
52	2.0	1.804	1.804	1.706	5
53	1.98	1.843	1.765	1.745	5
54	1.941	1.843	1.725	1.843	5
55	1.922	1.843	1.745	1.922	5
56	1.941	1.882	1.804	1.961	5
57	1.882	1.941	1.902	1.98	5
58	1.882	1.98	2.039	2.059	5
59	1.843	2.02	2.118	2.196	5
60	1.882	1.98	2.255	2.196	5
61	1.882	1.961	2.294	2.196	5
62	1.922	1.941	2.353	2.118	5
63	2.0	1.902	2.333	2.02	5
64	2.0	1.902	2.314	1.961	5
65	2.02	1.882	2.294	1.922	5
66	2.039	1.863	2.196	1.882	5
67	2.0	1.824	2.078	1.804	5
68	2.039	1.804	1.902	1.784	5
69	1.98	1.824	1.863	1.745	5
70	1.98	1.824	1.784	1.765	5
71	1.902	1.882	1.765	1.824	5
72	1.882	1.882	1.804	1.922	5
73	1.882	1.902	1.843	2.0	5
74	1.863	1.941	1.902	2.039	5
75	1.804	1.98	2.0	2.078	5
76	1.804	1.961	2.098	2.157	5
77	1.863	1.941	2.255	2.157	5
